# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
 0)   0.000 us    |                                preempt_count_add();
 0) + 30.518 us   |                              }
 0)   0.000 us    |                              ktime_get();
 0)               |                              ehci_enable_event() {
 0)               |                                hrtimer_start_range_ns() {
 0)               |                                  lock_hrtimer_base() {
 0)               |                                    _raw_spin_lock_irqsave() {
 0)   0.000 us    |                                      preempt_count_add();
 0)   0.000 us    |                                    }
 0) + 30.517 us   |                                  }
 0)   0.000 us    |                                  enqueue_hrtimer();
 0)               |                                  hrtimer_force_reprogram() {
 0)               |                                    hrtimer_update_next_event() {
 0)               |                                      __hrtimer_get_next_event() {
 0)   0.000 us    |                                        __hrtimer_next_event_base();
 0)   0.000 us    |                                      }
 0)               |                                      __hrtimer_get_next_event() {
 0) + 30.517 us   |                                        __hrtimer_next_event_base();
 0) + 30.517 us   |                                      }
 0) + 30.517 us   |                                    }
 0)               |                                    tick_program_event() {
 0)               |                                      clockevents_program_event() {
 0)   0.000 us    |                                        ktime_get();
 0) + 30.518 us   |                                        omap2_gp_timer_set_next_event();
 0) + 30.518 us   |                                      }
 0) + 30.518 us   |                                    }
 0) + 91.553 us   |                                  }
 0)               |                                  _raw_spin_unlock_irqrestore() {
 0)   0.000 us    |                                    preempt_count_sub();
 0)   0.000 us    |                                  }
 0) ! 152.588 us  |                                }
 0) ! 152.588 us  |                              }
 0)               |                              _raw_spin_unlock_irqrestore() {
 0)   0.000 us    |                                preempt_count_sub();
 0)   0.000 us    |                              }
 0) ! 183.106 us  |                            }
 0)               |                            _raw_spin_lock_irq() {
 0)   0.000 us    |                              preempt_count_add();
 0) + 30.517 us   |                            }
 0) ! 244.140 us  |                          }
 0)               |                          hrtimer_update_next_event() {
 0)               |                            __hrtimer_get_next_event() {
 0)   0.000 us    |                              __hrtimer_next_event_base();
 0) + 30.518 us   |                            }
 0)               |                            __hrtimer_get_next_event() {
 0)   0.000 us    |                              __hrtimer_next_event_base();
 0)   0.000 us    |                            }
 0) + 30.518 us   |                          }
 0)               |                          _raw_spin_unlock_irqrestore() {
 0) + 30.517 us   |                            preempt_count_sub();
 0) + 30.517 us   |                          }
 0)               |                          tick_program_event() {
 0)               |                            clockevents_program_event() {
 0)   0.000 us    |                              ktime_get();
 0) + 30.518 us   |                              omap2_gp_timer_set_next_event();
 0) + 30.518 us   |                            }
 0) + 30.518 us   |                          }
 0) ! 366.211 us  |                        }
 0) ! 366.211 us  |                      }
 0) ! 366.211 us  |                    }
 0)               |                    add_interrupt_randomness() {
 0) + 30.518 us   |                      read_current_timer();
