# tracer: function
#
# entries-in-buffer/entries-written: 5981/5981   #P:1
#
#                                _-----=> irqs-off
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| /     delay
#           TASK-PID     CPU#  ||||   TIMESTAMP  FUNCTION
#              | |         |   ||||      |         |
 irq/72-48070000-65      [000] d..2 64763.046967: sched_switch: prev_comm=irq/72-48070000 prev_pid=65 prev_prio=49 prev_state=R+ ==> next_comm=sugov:0 next_pid=83 next_prio=-1
         sugov:0-83      [000] d..2 64763.047028: sched_switch: prev_comm=sugov:0 prev_pid=83 prev_prio=-1 prev_state=D ==> next_comm=irq/72-48070000 next_pid=65 next_prio=49
 irq/72-48070000-65      [000] d..2 64763.047089: sched_switch: prev_comm=irq/72-48070000 prev_pid=65 prev_prio=49 prev_state=R+ ==> next_comm=sugov:0 next_pid=83 next_prio=-1
         sugov:0-83      [000] d..2 64763.047180: sched_switch: prev_comm=sugov:0 prev_pid=83 prev_prio=-1 prev_state=D ==> next_comm=irq/72-48070000 next_pid=65 next_prio=49
 irq/72-48070000-65      [000] d..2 64763.047272: sched_switch: prev_comm=irq/72-48070000 prev_pid=65 prev_prio=49 prev_state=S ==> next_comm=rcu_preempt next_pid=10 next_prio=120
     rcu_preempt-10      [000] d..2 64763.047333: sched_switch: prev_comm=rcu_preempt prev_pid=10 prev_prio=120 prev_state=R ==> next_comm=irq/72-48070000 next_pid=65 next_prio=49
 irq/72-48070000-65      [000] d..2 64763.047394: sched_switch: prev_comm=irq/72-48070000 prev_pid=65 prev_prio=49 prev_state=R+ ==> next_comm=sugov:0 next_pid=83 next_prio=-1
         sugov:0-83      [000] d..2 64763.047485: sched_switch: prev_comm=sugov:0 prev_pid=83 prev_prio=-1 prev_state=S ==> next_comm=irq/72-48070000 next_pid=65 next_prio=49
 irq/72-48070000-65      [000] d..2 64763.047546: sched_switch: prev_comm=irq/72-48070000 prev_pid=65 prev_prio=49 prev_state=S ==> next_comm=rcu_preempt next_pid=10 next_prio=120
     rcu_preempt-10      [000] d..2 64763.047638: sched_switch: prev_comm=rcu_preempt prev_pid=10 prev_prio=120 prev_state=I ==> next_comm=swapper/0 next_pid=0 next_prio=120
          <idle>-0       [000] d..2 64763.050171: sched_switch: prev_comm=swapper/0 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=rcu_preempt next_pid=10 next_prio=120
     rcu_preempt-10      [000] d..2 64763.050262: sched_switch: prev_comm=rcu_preempt prev_pid=10 prev_prio=120 prev_state=I ==> next_comm=swapper/0 next_pid=0 next_prio=120
          <idle>-0       [000] d..2 64763.298187: sched_switch: prev_comm=swapper/0 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=kworker/0:2 next_pid=668 next_prio=120
     kworker/0:2-668     [000] d..2 64763.298370: sched_switch: prev_comm=kworker/0:2 prev_pid=668 prev_prio=120 prev_state=I ==> next_comm=swapper/0 next_pid=0 next_prio=120
          <idle>-0       [000] d..2 64763.650146: sched_switch: prev_comm=swapper/0 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=kworker/0:2 next_pid=668 next_prio=120
